"id","part_number","name","price","currency_id"
295,29632,"Nokia 6030, 6060 - микросхема управления радиотрактом (original)",50,1
296,29559,"Nokia 6103, 6670, 7610 - микросхема управления радиотрактом (original)",50,1
297,34411,"Nokia 6151, 6233, N93i - микросхема управления радиотрактом (original)",100,1
298,33806,"Nokia 6233, 6280, 6288, N73, N93 - микросхема радиотракта (4396275, original)",200,1
299,41077,"Nokia 6700 Classic - усилитель мощности (RF6278 WCDMA, original)",300,1
300,41076,"Nokia 6700 Classic - усилитель мощности (RF6283 E5.4, original)",250,1
301,44688,"Усилитель мощности на Nokia 5230, 5800 (original)",250,1
302,29596,"Усилитель на Nokia 2610, 2710 Navigator, 6030, 6060, 6111, N770 (TPA2010D1YZF, original)",50,1
303,33588,"Усилитель на Nokia 5530, 5610, 5700, 5800 (4355951, original)",250,1
304,28787,"Nokia 1220, 2100, 2300, 3100, 3200, 3300, 33103410, 3650, 5100- предохранитель (original)",50,1
305,32877,"Nokia 2652, 6111, 6125, 6131, 6170, 6260, 6288, 7280, N71 - ключ датчика присутствия крышки АКБ (original)",50,1
306,45708,"Nokia 300 Asha - контроллер  питания (PEARL_J MW12 VFBGA209, origina)",350,1
307,29591,"Nokia 3100, 3120, 3220, 5200, 5300, .., N72, N77, N90, N91, N93 - контроллер статики (original)",50,1
308,30116,"Nokia 3120, 3200, 3300, 5100, 6220, 6610i - контроллер питания (original)",100,1
309,29542,"Nokia 3230, 6170, 6230, 6230i, 6260, 6630, 6670, 6680, 6681, 7200, 7270, 7610 - контроллер микрофона (original",50,1
310,29592,"Nokia 3250, 5200, 5300, 5500, 6030, 6060, 6125, 6131, 6151, 6233 - контроллер цепи Sim карты (original)",10,1
311,24451,"Nokia 3250, 5200, 5300, 5500, 6125, 6131, 6270, 6280, 6 - контроллер  питан (марк: 4396177, original)",100,1
312,33804,"Nokia 3250, 6131, 6680, 7370, E70, N70, N71, N72 - контроллер питания (N2300, original)",50,1
